"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"fl_em_operacao";"SITUAÇÃO";"ATIVIDADE";"TIPOATIVIDADE";"ESTRUTURA BÁSICA";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"COMPLEMENTO";"TELEFONE";"EMAIL_INSTITUCIONAL";"EMAIL_COMERCIAL";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CNAE";"SEGMENTOS TURISTICOS";"LINGUAS";"UH";"UHs ACESSÍVEIS";"TOTAL DE LEITOS"
D. PAGANINI & CIA LTDA;HOTEL PAGANINI;"02551046000124";Sociedade Empresária Limitada;1998-06-02;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"78950000";RO;Ouro Preto do Oeste;;Sem Logradouro;;(69)3461-3882;hotelpaganini@hotmail.com;hotelpaganini@hotmail.com;;"20/02/2018";"20/02/2020";"02551046000124";"5510801 - HOTÉIS";;;23;0;46
ADRIANA DOS SANTOS HOLTZ;POUSADA PORTO BELO;"02554526000149";Empresário (Individual);1998-05-27;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"88210000";SC;Porto Belo;;Sem Logradouro;;(47)3369-4703;pousadaportobelo@gmail.com;pousadaportobelo@gmail.com;www.pousadaportobelo.com.br;"15/01/2018";"15/01/2020";"02554526000149";"5510801 - HOTÉIS";; Espanhol;15;0;32
ARAMANAI TURISMO LTDA;SEREIA POUSADA RESTAURANTE;"02559645000194";Sociedade Empresária Limitada;1998-04-30;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"68143000";PA;Belterra;;Sem Logradouro;;(93)9111-0254;cibelle.stm@hotmail.com;cibelle.stm@hotmail.com;;"06/07/2017";"06/07/2019";"02559645000194";"5510801 - HOTÉIS";;;6;0;24
HOTEL POUSADA MUNDO LATINO LTDA - ME;HOTEL POUSADA MUNDO LATINO;"02572702000175";Sociedade Empresária Limitada;1998-06-12;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"60160110";CE;Fortaleza;Meireles;Ana Bilhar;;(85)3242-8778;mundolatino@mundolatino.com.br;mundolatino@mundolatino.com.br;www.mundolatino.com.br;"17/01/2018";"17/01/2020";"02572702000175";"5510801 - HOTÉIS";;;14;0;50
SAN MANUEL PRAIA HOTEL LTDA;SAN MANUEL PRAIA HOTEL;"02574828000189";Sociedade Empresária Limitada;1998-06-15;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"49037470";SE;Aracaju;Atalaia;Niceu Dantas;;(79)3218-5200;reservas@sanmanuelpraiahotel.com.br;reservas@sanmanuelpraiahotel.com.br;www.sanmanuelpraiahotel.com.br;"23/02/2018";"23/02/2020";"02574828000189";"5510801 - HOTÉIS";; Espanhol | Inglês;67;2;135
ICH ADMINISTRACAO DE HOTEIS S.A.;ICH ADMINISTRAÇÃO DE HOTEIS S.A.;"02584924001341";Sociedade Anônima Fechada;2010-12-13;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"04571110";SP;São Paulo;;Sem Logradouro;;(11)3878-4522;carla.simoes@intercityhoteis.com.br;carla.simoes@intercityhoteis.com.br;www.intercityhoteis.com.br;"15/02/2018";"15/02/2020";"02584924001341";"5510801 - HOTÉIS";; Espanhol | Inglês;123;2;158
ICH ADMINISTRACAO DE HOTEIS S.A.;INTERCITY MONTES CLAROS;"02584924003123";Sociedade Anônima Fechada;2014-07-02;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"39400117";MG;Montes Claros;Todos os Santos;Santa Lúcia;;(38)2101-9700;rafael.sena@intercityhoteis.com.br;rafael.sena@intercityhoteis.com.br;;"25/07/2017";"25/07/2019";"02584924003123";"5510801 - HOTÉIS";; Inglês;133;4;266
HOTEL MAGNU'S LTDA;HOTEL MAGNU'S;"02636516000152";Sociedade Empresária Limitada;1998-07-01;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"77016524";TO;Palmas;Plano Diretor Sul;"611 Sul Avenida LO 13";;(63)3215-7180;mendoncafsilva@hotmail.com;mendoncafsilva@hotmail.com;;"08/02/2018";"08/02/2020";"02636516000152";"5510801 - HOTÉIS";; Inglês;26;0;26
JOAO ALVES DE OLIVEIRA;HOTEL E RESTAURANTE CHALANA                                 ;"02646374000104";Empresário (Individual);1998-07-16;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37653000";MG;Camanducaia;;Sem Logradouro;;(35)3438-1525;;;;"22/03/2018";"22/03/2020";"02646374000104";"5510801 - HOTÉIS";;;15;0;21
COCO BEACH HOTEIS LTDA;HOTEL COCO BEACH;"02665417000107";Sociedade Empresária Limitada;1998-08-07;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"48300000";BA;Conde;;Sem Logradouro;;(75)3449-1171;hotel@cocobeach.ch;hotel@cocobeach.ch;www.cocobeach.ch;"21/11/2016";"21/11/2018";"02665417000107";"5510801 - HOTÉIS";; Alemão;22;8;72
DURAN EMPREENDIMENTOS LTDA;HOTEL FENIX;"02667295000180";Sociedade Empresária Limitada;1998-07-09;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"40060330";BA;Salvador;Dois de Julho;Carlos Gomes;;(71)3322-2427;duranhotelfenix@gmail.com;duranhotelfenix@gmail.com;;"06/10/2016";"06/10/2018";"02667295000180";"5510801 - HOTÉIS";; Espanhol | Italiano;20;0;40
POUSADA CASA DA COLINA LTDA;POUSADA DA COLINA;"02677097000105";Sociedade Empresária Limitada;1998-07-21;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"95670000";RS;Gramado;;Sem Logradouro;;(54)3286-7355;gramado@pousadadacolina.com.br;gramado@pousadadacolina.com.br;www.pousadadacolina.com.br;"26/02/2018";"26/02/2020";"02677097000105";"5510801 - HOTÉIS";;;8;0;18
HOTEL METROPOLITAN EIRELI;HOTEL METROPOLITAN;"02678145000171";Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);1998-08-10;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"79008411";MS;Campo Grande;Centro;Presidente Ernesto Geisel;;(67)3389-4600;reservas@hotelmetropolitan.com.br;reservas@hotelmetropolitan.com.br;www.hotelmetropolitan.com.br;"02/03/2018";"02/03/2020";"02678145000171";"5510801 - HOTÉIS";; Inglês;80;1;178
POUSADA SHALLOM BEACH LTDA;POUSADA SHALOM BEACH;"02680766000190";Sociedade Empresária Limitada;1998-08-04;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"57955000";AL;Maragogi;;Sem Logradouro;;(82)3296-7115;RESERVAS@SHALOMBEACH.COM.BR;RESERVAS@SHALOMBEACH.COM.BR;WWW.SHALOMBEACH.COM.BR;"06/01/2017";"06/01/2019";"02680766000190";"5510801 - HOTÉIS";; Espanhol;23;1;60
TROPICAL PRAIA HOTEL LTDA;TROPICAL PRAIA HOTEL;"02770882000108";Sociedade Empresária Limitada;1998-10-05;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"49035710";SE;Aracaju;Coroa do Meio;Renato Fonseca de Oliveira;bairro coroa do meio;(79)3255-2799;tropicalpraiahotel@infonet.com.br;tropicalpraiahotel@infonet.com.br;;"07/03/2018";"07/03/2020";"02770882000108";"5510801 - HOTÉIS";;;68;1;168
IVANE N. DE ALBUQUERQUE;MISTURA BRASILEIRA;"02797100000116";Empresário (Individual);1998-07-24;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"68005290";PA;Santarém;Centro;Quinze de Novembro;;(93)3522-4819;misturabrasileira2014@bol.com.br;misturabrasileira2014@bol.com.br;;"02/01/2018";"02/01/2020";"02797100000116";"5510801 - HOTÉIS";;;26;6;61
HOTEL ANJOS & MOTTA LTDA;HOTEL COMENDADOR JUNIOR;"02821077000158";Sociedade Empresária Limitada;1998-07-01;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"25815330";RJ;Três Rios;Vila Isabel;Áurea Saldanha;;(24)2251-6600;hotelcomendador2@hotmail.com;hotelcomendador2@hotmail.com;;"15/01/2018";"15/01/2020";"02821077000158";"5510801 - HOTÉIS";; Inglês;54;0;144
CASTRO HOTEIS E TURISMO LTDA;CASTROS  PARK HOTEL;"02839603000107";Sociedade Empresária Limitada;1980-06-27;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"74115030";GO;Goiânia;Setor Oeste;República do Líbano;;(62)3096-2000;contab@castrospark.com.br;contab@castrospark.com.br;www.castrospark.com.br;"16/02/2018";"15/02/2020";"02839603000107";"5510801 - HOTÉIS";; Espanhol | Francês | Inglês;172;1;344
HOTEL FLOR D'LIZ LTDA;HOTEL FLOR D'LIZ;"02848555000113";Sociedade Empresária Limitada;1998-11-09;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"74823100";GO;Goiânia;Setor Pedro Ludovico;"1025";Quadra 67 Lote 04;(62)3245-1019;contato.hfl@hotmail.com;contato.hfl@hotmail.com;;"09/03/2018";"09/03/2020";"02848555000113";"5510801 - HOTÉIS";;;31;31;60
ADELSON G.RIBEIRO;POUSADA UIRAPURU;"02873698000185";Empresário (Individual);1998-12-02;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"69200000";AM;Borba;;Sem Logradouro;;(92)9936-6191;maiaciadade@gmail.com;maiaciadade@gmail.com;;"21/02/2018";"21/02/2020";"02873698000185";"5510801 - HOTÉIS";;;13;0;28
ANDRADE & LUCENA LTDA;PR3  -  POUSADA VARANDA MAR;"02882402000192";Sociedade Empresária Limitada;1998-12-04;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"57038300";AL;Maceió;Cruz das Almas;João Canuto da Silva;;(82)9967-4114;pousadavarandamar@gmail.com;pousadavarandamar@gmail.com;;"04/01/2018";"04/01/2020";"02882402000192";"5510801 - HOTÉIS";; Espanhol | Francês | Inglês | Italiano;8;0;16
EMPREENDIMENTOS SUNRITZ LTDA;Empreendimentos Sunritz Ltda;"02885109000189";Sociedade Empresária Limitada;1998-10-06;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"30360670";MG;Belo Horizonte;Santa Lúcia;Raja Gabaglia;;(31)3296-7017;sunset@moteisbh.com.br;sunset@moteisbh.com.br;www.moteisbh.com.br;"13/07/2017";"13/07/2019";"02885109000189";"5510801 - HOTÉIS";; Inglês;35;0;35
CHAMBRES HOTEIS E POUSADAS EIRELI;POUSADA NOSSA CASA;"02886418000173";Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);1998-12-07;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"57035850";AL;Maceió;Jatiúca;José Luiz Calazans;;(82)3235-1947;ANDRECHAMBRES@GMAIL.COM;PDESBASQUES@OFM.COM.BR;WWW.HOTEDESBASQUES.COM.BR;"01/03/2018";"01/03/2020";"02886418000173";"5510801 - HOTÉIS";; Espanhol | Francês | Inglês;17;0;45
JACI BARBOSA DE SOUZA E CIA LTDA;HOTEL ALVORADA;"02889277000223";Sociedade Empresária Limitada;1981-11-20;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"74025020";GO;Goiânia;Setor Central;"4";"776";(62)4013-6000;hotelalvoradago@gmail.com;hotelalvoradago@gmail.com;jbshoteis.com.br;"08/03/2018";"08/03/2020";"02889277000223";"5510801 - HOTÉIS";;;62;1;135
HOTEL SCHNEIDER LTDA;HOTEL SCHNEIDER LTDA - ME;"02923393000130";Sociedade Empresária Limitada;1999-01-07;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"89650000";SC;Treze Tílias;;Sem Logradouro;;(49)3537-0184;contato@hotelschneider.com.br;contato@hotelschneider.com.br;www.hotelschneider.com.br;"25/01/2018";"25/01/2020";"02923393000130";"5510801 - HOTÉIS";; Alemão;15;0;42
AURELIO SANTOS OLIVEIRA;POUSADA RAIO DE SOL;"02947658000130";Empresário Individual;1999-01-27;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"49037000";SE;Aracaju;Atalaia;François Hoald;;(79)3212-8600;raiodesolaju@hotmail.com;raiodesolaju@hotmail.com;www.pousadaraiodesol.com.br;"01/03/2018";"01/03/2020";"02947658000130";"5510801 - HOTÉIS";; Inglês;60;2;234
SUNSHINE PRAIA HOTEL LTDA;SUNSHINE PRAIA HOTEL;"02981715000106";Sociedade Empresária Limitada;1999-02-11;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"45810000";BA;Porto Seguro;;Sem Logradouro;;(73)2105-3000;EXATA@EXATACONT.COM.BR;janaina@SUNSHINEPRAIAHOTEL.COM.BR;WWW.SUNSHINEPRAIAHOTEL.COM.BR;"08/02/2018";"08/02/2020";"02981715000106";"5510801 - HOTÉIS";; Espanhol;149;1;470
SUNSHINE PRAIA HOTEL LTDA;ARRAIAL BANGALÔ PRAIA HOTEL;"02981715000289";Sociedade Empresária Limitada;2013-09-13;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"45816000";BA;Arraial D'Ajuda;;Sem Logradouro;;(73)2105-3000;EXATA@EXATACONT.COM.BR;gerencia@redeportofirme.com.br;;"22/02/2018";"22/02/2020";"02981715000289";"5510801 - HOTÉIS";; Espanhol;149;1;470
PERUACU PARQUE HOTEL LTDA;PORTAL DO PERUAÇU;"03003073000125";Sociedade Empresária Limitada;1997-04-03;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"39480000";MG;Januária;;Sem Logradouro;;(31)9408-2168;armandogmoreira@hotmail.com;armandogmoreira@hotmail.com;;"23/01/2018";"23/01/2020";"03003073000125";"5510801 - HOTÉIS";; Espanhol;4;2;13
CLUB MED BRASIL S/A;CLUB MED BRASIL S/A;"03010384000707";Sociedade Anônima Fechada;2002-10-04;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"45810000";BA;Porto Seguro;;Sem Logradouro;;(73)3575-8400;lucas.soares@clubmed.com;lucas.soares@clubmed.com;;"05/05/2017";"05/05/2019";"03010384000707";"5510801 - HOTÉIS";; Espanhol | Francês | Inglês | Italiano;250;2;596
CYOMARA FONSECA MIGUEL;PLAZA INN FLATS RESIDENCE                                   ;"03047528000104";Empresário (Individual);1999-03-18;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37130000";MG;Alfenas;;Sem Logradouro;;(35)3292-3611;;;;"08/03/2018";"08/03/2020";"03047528000104";"5510801 - HOTÉIS";;;45;3;80
JOALPA HOTEL CABO FRIO LTDA;JOALPA HOTEL CABO FRIO;"03074216000190";Sociedade Empresária Limitada;1999-02-09;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"28922150";RJ;Cabo Frio;Jacaré;Lisboa;;(22)2645-4848;JOALPA_HOTEL@UOL.COM.BR;JOALPA_HOTEL@UOL.COM.BR;WWW.JOALPA.COM.BR;"23/02/2018";"23/02/2020";"03074216000190";"5510801 - HOTÉIS";; Espanhol | Inglês;72;2;344
POUSADA AGUA AZUL ESTANCIA HIDROMINERAL SOCIEDADE LTDA;ESTANCIA HIDROMINERAL ÁGUA AZUL;"03076076000199";Sociedade Empresária Limitada;1999-03-30;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37905000";MG;Fortaleza de Minas;;Sem Logradouro;;(35)3531-7440;;;;"09/03/2018";"09/03/2020";"03076076000199";"5510801 - HOTÉIS";; Espanhol;12;0;42
ESTANCIA BELA VIDA LTDA;ESTÂNCIA BELA VIDA;"03097445000120";Sociedade Empresária Limitada;1999-04-15;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37150000";MG;Carmo do Rio Claro;;Sem Logradouro;;(35)3561-1209;;;;"09/03/2018";"09/03/2020";"03097445000120";"5510801 - HOTÉIS";;;6;0;6
EDMAR JOSE DO LAGO;POUSADA DO EDMAR;"03109084000194";Empresário (Individual);1999-04-23;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37780000";MG;Caldas;;Sem Logradouro;;(35)3735-1000;;;;"09/03/2018";"09/03/2020";"03109084000194";"5510801 - HOTÉIS";;;10;0;25
HOTEL GOIAS NORTE LTDA;HOTEL GOIAS NORTE;"03122666000100";Sociedade Empresária Limitada;1999-05-03;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"74063230";GO;Goiânia;Setor Norte Ferroviário;Y;;(62)3211-5362;hotelgoiasnorte2011@hotmail.com;hotelgoiasnorte2011@hotmail.com;www.hotelgoiasnorte.com.br;"28/03/2018";"28/03/2020";"03122666000100";"5510801 - HOTÉIS";;;35;1;92
GISELLI C. M. FERNANDES;POUSADA LUA & SOL;"03125761000168";Empresário (Individual);1999-03-24;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"12450000";SP;Santo Antônio do Pinhal;;EST VEREADOR ARLINDO INACIO FERNANDES ;;(12)3666-1483;gisellicristini@uol.com.br;gisellicristini@uol.com.br;www.pousadaluaesol.com.br;"26/04/2018";"26/04/2020";"03125761000168";"5510801 - HOTÉIS";; Inglês;9;1;29
SAINT PATRICK PRAIA HOTEL LTDA;SAINT PATRICK PRAIA HOTEL;"03130810000150";Sociedade Empresária Limitada;1999-04-23;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"57035700";AL;Maceió;Jatiúca;Doutor Júlio Marques Luz;;(82)3325-7785;LEGALIZACAO@ESCRITABILCONTABILIDADE.COM.BR;reservas@stpatrickpraiahotel.com.br;WWW.STPATRICKPRAIAHOTEL.COM.BR;"22/02/2018";"22/02/2020";"03130810000150";"5510801 - HOTÉIS";; Espanhol | Francês | Inglês;36;0;116
RIHAD PALACE HOTEL LTDA;RIHAD PALACE HOTEL;"03135376000100";Sociedade Empresária Limitada;1999-05-06;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"83702040";PR;Araucária;Centro;Doutor Victor do Amaral;;(41)3614-2200;rihad@rihadpalacehotel.com.br;rihad@rihadpalacehotel.com.br;;"03/04/2018";"03/04/2020";"03135376000100";"5510801 - HOTÉIS";; Inglês;72;0;144
AUGUSTO EMPREENDIMENTOS TURISTICOS LTDA;HOTEL HENRIQUE DIAS;"03167472000121";Sociedade Empresária Limitada;1999-05-12;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"50070140";PE;Recife;Boa Vista;Henrique Dias;"181";(81)3231-6686;HOTELHENRIQUEDIAS@HOTMAIL.COM;novohotellrecife@HOTMAIL.COM;;"27/03/2018";"27/03/2020";"03167472000121";"5510801 - HOTÉIS";;;36;2;72
OMEGA REAL LTDA - EPP;OMEGA REAL LTDA EPP;"03179027000181";Sociedade Empresária Limitada;1999-05-21;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"48280000";BA;Mata de São João;;Sem Logradouro;;(71)3676-1155;POUSADA@PORTODALUA.TUR.BR;POUSADA@PORTODALUA.TUR.BR;WWW.PORTODALUA.TUR.BR;"21/06/2017";"21/06/2019";"03179027000181";"5510801 - HOTÉIS";; Espanhol | Inglês;26;1;72
RM HOTEL LTDA;OURO CERRADO HOTEL;"03184656000108";Sociedade Empresária Limitada;1999-05-14;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"38740000";MG;Patrocínio;;Sem Logradouro;;(34)3831-5252;contato@ourocerradohotel.com.br;contato@ourocerradohotel.com.br;;"07/06/2017";"07/06/2019";"03184656000108";"5510801 - HOTÉIS";; Inglês;61;4;130
MONTEPLAN EMPREENDIMENTOS TURISTICOS LTDA;HOTEL VILLA PARK;"03195110000225";Sociedade Empresária Limitada;2011-11-11;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"59015000";RN;Natal;Tirol;Senador Salgado Filho;- até 1559 - lado ímpar;(84)3209-7500;gerencia@villaparkhotel.com.br;gerencia@villaparkhotel.com.br;www.villaparkhotel.com.br;"15/03/2018";"15/03/2020";"03195110000225";"5510801 - HOTÉIS";; Português | Inglês;88;2;210
POUSO DO MARUJO EIRELI; POUSO DO MARUJO                     ;"03203966000114";Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);1999-06-07;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"88062000";SC;Florianópolis;Lagoa da Conceição;Afonso Delambert Neto;;(48)3232-3357;pousadamarujo@uol.com.br;pousadamarujo@uol.com.br;guesthousemarujo.com.br;"09/01/2018";"09/01/2020";"03203966000114";"5510801 - HOTÉIS";; Alemão | Espanhol | Inglês | Japonês;8;0;26
AUGUSTU'S HOTEL LTDA;AUGUSTU'S HOTEL;"03222826000193";Sociedade Empresária Limitada;1999-06-16;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"68377000";PA;Altamira;Brasília;Antônio Vieira;;(93)3515-4505;augustuhotel4505@yahoo.com.br;augustuhotel4505@yahoo.com.br;;"05/02/2018";"05/02/2020";"03222826000193";"5510801 - HOTÉIS";;;69;0;108
ILOINIA DE OLIVEIRA DOS SANTOS POUSADA;POUSADA CEU E MAR;"03223222000161";Empresário (Individual);1999-05-26;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"23970000";RJ;Paraty;;Sem Logradouro;;(24)3371-5136;pousadaceuemartrindade@hotmail.com;pousadaceuemartrindade@hotmail.com;;"09/01/2018";"09/01/2020";"03223222000161";"5510801 - HOTÉIS";;;12;0;31
HOTEL SAVANA LTDA;HOTEL SAVANA;"03227468000101";Sociedade Empresária Limitada;1999-06-15;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"79490000";MS;São Gabriel do Oeste;;RUA FILINTO MULLER - 85;;(67)3295-2001;HOTELSAVANA@GMAIL.COM;hotelsavana@gmail.com;;"23/03/2018";"23/03/2020";"03227468000101";"5510801 - HOTÉIS";;;25;2;75
VERDE PLAZA HOTEIS DE TURISMO LTDA.;VERDE PLAZA;"03258062000196";Sociedade Empresária Limitada;1999-06-29;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"97573000";RS;Santana do Livramento;;Sem Logradouro;;(55)3242-3120;sil.casaverde@hotmail.com;sil.casaverde@hotmail.com;www.verdeplaza.com.br;"10/01/2018";"10/01/2020";"03258062000196";"5510801 - HOTÉIS";; Espanhol | Inglês;176;178;539
HOTEL RABELO LTDA;HOTEL RABELO;"03268311000124";Sociedade Empresária Limitada;1999-07-05;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"39270000";MG;Pirapora;;Sem Logradouro;;(38)3741-3080;fabio.rabelo@hotmail.com;fabio.rabelo@hotmail.com;;"08/06/2017";"08/06/2019";"03268311000124";"5510801 - HOTÉIS";;;9;0;20
HOTEL AEROPORTO LTDA;Hotel Aeroporto Vitória;"03270127000119";Sociedade Empresária Limitada;1999-07-01;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"29065280";ES;Vitória;Mata da Praia;Ary Ferreira Chagas;;(27)2127-3106;HOTEL.AEROPORTO.ES@TERRA.COM.BR;HOTEL.AEROPORTO.ES@TERRA.COM.BR;www.hotelaeroportovitoria.com.br;"06/03/2018";"06/03/2020";"03270127000119";"5510801 - HOTÉIS";;;113;4;193
POUSADA SAN MARCO EIRELI;POUSADA SAN MARCO;"03282708000170";Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);1999-07-09;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"39270000";MG;Pirapora;;Sem Logradouro;;(38)3741-9671;POUSADASANMARCO@UAIVIP.COM.BR;POUSADASANMARCO@UAIVIP.COM.BR;;"08/06/2017";"08/06/2019";"03282708000170";"5510801 - HOTÉIS";; Italiano;30;1;62
ROSA MARIA FERNANDES DE LIMA POUSADA;POUSADA MORADA DO SOL;"03284509000100";Empresário (Individual);1999-07-12;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"53990000";PE;Fernando de Noronha;;Rua Alameda das Amendoeiras;"03";(81)3619-1749;moradadosolnoronha@hotmail.com;alamoapousada@gmail.com;;"27/03/2018";"27/03/2020";"03284509000100";"5590699 - OUTROS ALOJAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE";;;8;0;16
SENGER, ZILIO & CIA LTDA;SAN REMO HOTEL;"03286183000141";Sociedade Empresária Limitada;1999-07-15;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"99500000";RS;Carazinho;;Sem Logradouro;;(54)3331-1722;reservasan@gmail.com;reservasan@gmail.com;www.sanremohotel.com.br;"16/03/2018";"16/03/2020";"03286183000141";"5510801 - HOTÉIS";; Alemão | Espanhol | Inglês;44;2;104
POUSADA BELEZINHA;POUSADA BELEZINHA;"03298176000160";Empresário (Individual);1999-07-12;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"28930000";RJ;Arraial do Cabo;;Sem Logradouro;;(22)2622-2729;pousadabelezinha@gmail.com;pousadabelezinha@gmail.com;;"05/01/2018";"05/01/2020";"03298176000160";"5510801 - HOTÉIS";;;13;0;35
IRACEMA DOS SANTOS BAZAR E CONFECCOES;POUSADA SANTOS;"03319736000115";Empresário (Individual);1999-07-26;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"95480000";RS;Cambará do Sul;;Sem Logradouro;;(54)3251-1150;turismocambara@terra.com.br;turismocambara@terra.com.br;;"15/02/2018";"15/02/2020";"03319736000115";"5510801 - HOTÉIS";;;3;0;12
VIVA MARIA EMPREENDIMENTOS HOTELEIRO LTDA;VIVA MARIA- HOTEL E RESTAURANTE;"03344655000175";Sociedade Empresária Limitada;1999-08-19;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"39480000";MG;Januária;;Sem Logradouro;;(38)3621-1414;HOTELVIVAMARIA@HOTELVIVAMARIA.COM.BR;HOTELVIVAMARIA@HOTELVIVAMARIA.COM.BR;WWW.HOTELVIVAMARIA.COM.BR;"14/09/2017";"14/09/2019";"03344655000175";"5510801 - HOTÉIS";;;30;0;63
MONTE PASCOAL HOTEIS LTDA;MONTE PASCOAL PRAIA HOTEL;"03361880000110";Sociedade Empresária Limitada;1999-08-25;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"40170010";BA;Salvador;Ondina;Oceânica;;(71)2103-4000;RESERVAS@MONTEPASCOAL.COM.BR;RESERVAS@MONTEPASCOAL.COM.BR;WWW.MONTEPASCOAL.COM.BR;"23/03/2018";"23/03/2020";"03361880000110";"5510801 - HOTÉIS";; Espanhol | Inglês | Italiano;83;1;152
HOTEL GUAPINDAIA - EIRELI;HOTEL GUAPINDAIA;"03379076000168";Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);1999-07-20;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"69909760";AC;Rio Branco;Vila Acre;Fernando Sabino;;(68)3223-6352;hotelguapibosque@uol.com.br;hotelguapibosque@uol.com.br;;"07/06/2018";"07/06/2020";"03379076000168";"5510801 - HOTÉIS";; Espanhol;40;0;120
CABO VERDE HOTELARIA LTDA;CABO VERDE HOTELARIA LTDA;"03379228000122";Sociedade Empresária Limitada;1999-08-09;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37130000";MG;Alfenas;;Sem Logradouro;;(35)3291-1601;POUSADADOPORTO@UOL.COM.BR;POUSADADOPORTO@UOL.COM.BR;WWW.POUSADADOPORTO.COM.BR                                   ;"08/03/2018";"08/03/2020";"03379228000122";"5510801 - HOTÉIS";;;30;0;70
